BODY Coef, IPopt segun Egipcios ASAT-13-FM-03.
['Mach', 'Cd0', 'Cdd2', 'Cla', 'Cypa', 'Clp', 'Cma', 'Cmq', 'Cmpa0', 'Cmpa1', 'Cmpa2', 'Cmpa3']
Mach,Cd0,Cdd2,Cla,Cypa,Clp,Cma,Cmq,Cmpa0,Cmpa1,Cmpa2,Cmpa3
0.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.6000,0.18584,0.00000,1.77133,-0.76692,-0.02258,3.45802,0.00018,0.00000,0.00000,0.00000,0.00000
0.80000,0.18584,0.00000,1.77133,-0.76692,-0.02258,3.45802,0.00018,0.00000,0.00000,0.00000,0.00000
0.90000,0.16037,0.00000,1.80484,-0.81156,-0.02150,3.76158,0.00008,0.00000,0.00000,0.00000,0.00000
0.95000,0.19553,0.00000,1.93311,-0.96993,-0.02049,3.92153,0.00014,0.00000,0.00000,0.00000,0.00000
1.00000,0.28693,0.00000,2.10870,-1.02717,-0.02002,3.75988,0.00010,0.00000,0.00000,0.00000,0.00000
1.05000,0.35972,0.00000,2.18494,-0.94016,-0.02002,3.52528,-0.00009,0.00000,0.00000,0.00000,0.00000
1.10000,0.38300,0.00000,2.21384,-0.89564,-0.01987,3.41002,-0.00012,0.00000,0.00000,0.00000,0.00000
1.20000,0.37610,0.00000,2.28875,-0.81221,-0.01944,3.40056,-0.00003,0.00000,0.00000,0.00000,0.00000
1.35000,0.36188,0.00000,2.38191,-0.76674,-0.02010,3.35105,-0.00016,0.00000,0.00000,0.00000,0.00000
1.50000,0.34573,0.00000,2.49797,-0.76687,-0.02000,3.26984,-0.00041,0.00000,0.00000,0.00000,0.00000
1.75000,0.32658,0.00000,2.61988,-0.76719,-0.01998,3.23244,-0.00081,0.00000,0.00000,0.00000,0.00000
2.00000,0.30448,0.00000,2.71722,-0.76613,-0.02046,3.11563,-0.00224,0.00000,0.00000,0.00000,0.00000
5.00000,0.29420,0.00000,2.74659,-0.76740,-0.02099,3.00292,-0.10911,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,5.00000,10.00000
